model,b1,log10c0,p1,E1,E2,log10delta1,log10delta2,pop_frac1,pop_frac2,strategy1,strategy2,batches,steady_state,fullname
1,0.5,0,0.5,1,1,0,0,0.5,0.5,1,4.67E-302,1000,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_181.mat
1,0.5,0,0.5,1,0.9,-1.5,0,0.500000003,0.499999997,1.84916157522581e-312,1,1036,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_19.mat
1,0.5,0,0.5,1,0.9,-2.5,-2.5,1,0,0.641470761,0.628731032,681,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_2.mat
1,0.5,0,0.5,1,0.9,-1,-2.5,0.500000003,0.499999997,1,3.31784454031938e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_20.mat
1,0.5,0,0.5,1,0.9,-1,-2,0.500000003,0.499999997,1,3.33689865197072e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_21.mat
1,0.5,0,0.5,1,0.9,-1,-1.5,0.500000003,0.499999997,1,3.40394387747715e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_22.mat
1,0.5,0,0.5,1,0.9,-1,-1,1,0,0.666221425,0.648222996,729,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_23.mat
1,0.5,0,0.5,1,0.9,-1,-0.5,0.500000003,0.499999997,9.55529763477265e-313,1,1038,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_24.mat
1,0.5,0,0.5,1,0.9,-1,0,0.500000003,0.499999997,9.55529763477265e-313,1,1038,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_25.mat
1,0.5,0,0.5,1,0.9,-0.5,-2.5,0.500000003,0.499999997,1,3.31784454031938e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_26.mat
1,0.5,0,0.5,1,0.9,-0.5,-2,0.500000003,0.499999997,1,3.33689865197072e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_27.mat
1,0.5,0,0.5,1,0.9,-0.5,-1.5,0.500000003,0.499999997,1,3.40394387747715e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_28.mat
1,0.5,0,0.5,1,0.9,-0.5,-1,0.500000003,0.499999997,1,1.67662048852172e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_29.mat
1,0.5,0,0.5,1,0.9,-2.5,-2,1,0,0.641470761,0.633013528,679,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_3.mat
1,0.5,0,0.5,1,0.9,-0.5,-0.5,1,0,0.180308089,0.203740342,893,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_30.mat
1,0.5,0,0.5,1,0.9,-0.5,0,0.500000003,0.499999997,1.07270165046704e-312,1,1039,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_31.mat
1,0.5,0,0.5,1,0.9,0,-2.5,0.500000003,0.499999997,1,3.31784454031938e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_32.mat
1,0.5,0,0.5,1,0.9,0,-2,0.500000003,0.499999997,1,3.33689865197072e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_33.mat
1,0.5,0,0.5,1,0.9,0,-1.5,0.500000003,0.499999997,1,3.40394387747715e-312,1035,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_34.mat
1,0.5,0,0.5,1,0.9,0,-1,0.500000003,0.499999997,1,1.67662048852172e-312,1037,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_35.mat
1,0.5,0,0.5,1,0.9,0,-0.5,0.500000003,0.499999997,1,1.80926757006501e-312,1038,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_36.mat
1,0.5,0,0.5,1,0.9,0,0,0.500000003,0.499999997,1,5.4323336672472e-312,1033,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_37.mat
1,0.5,0,0.5,1,0.925,-2.5,-2.5,1,0,0.641470761,0.631949824,909,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_38.mat
1,0.5,0,0.5,1,0.925,-2.5,-2,1,0,0.358529239,0.363643325,906,1,2a__model_1__log10c0_0__p1_0.5to1__E_[1_0.9to1]__log10(delta_c0)_-2.5to0/out_39.mat
